Название вакансии,название компании,зарплата,ссылка на вакансию
Помощник руководителя (автопарк),ООО Рокет Логистик,,https://hh.ru/vacancy/130894608?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Заместитель начальника отдела логистики,WORLDWIDE PROMOTIONS DMCC,,https://hh.ru/vacancy/130605373?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела международной логистики,HR.PIVOT,,https://hh.ru/vacancy/130627146?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель по складской и транспортной логистике (фарма),ООО Алджен,,https://hh.ru/vacancy/130868271?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела логистики,ООО Прайм,,https://hh.ru/vacancy/130386279?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела логистики (FTL),SOLBER,,https://hh.ru/vacancy/130703735?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела технологий операционной логистики,Х5 IMPORT,,https://hh.ru/vacancy/130864094?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Ведущий менеджер/руководитель отдела логистики,ООО Русстроймет,,https://hh.ru/vacancy/130807377?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Директор по логистике (фулфилмент),LONMADI JSC / ЛОНМАДИ,,https://hh.ru/vacancy/130555354?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
Руководитель отдела внутрироссийских автоперевозок (наемный транспорт),ООО РустаЛогистик,,https://hh.ru/vacancy/130296133?query=%D1%80%D1%83%D0%BA%D0%BE%D0%B2%D0%BE%D0%B4%D0%B8%D1%82%D0%B5%D0%BB%D1%8C+%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%B0+%D0%BB%D0%BE%D0%B3%D0%B8%D1%81%D1%82%D0%B8%D0%BA%D0%B8&hhtmFrom=vacancy_search_list
